restaurant_id,name,cuisine_type,location,owner_name,average_delivery_time,contact_number,rating,total_orders,is_active
e9e8391d-8c6d-4328-b2c1-a5c91a9eca5c,Rivera-Jacobson,Arabian,West Thomas,Alexander Nelson,24,909.480.3714,2.0,38,True
80fac20d-388f-4b9c-b14e-2e05396163e6,Liu-Collins,Mexican,Bryanmouth,Amanda Martinez,36,6283484532,3.0,40,False
41404f99-d639-4f27-aecc-2c646720f66b,Lee Inc,Chinese,West Kelly,Anthony Gutierrez,41,(310)781-5109x5619,2.0,49,False
072cf232-6795-419c-9771-8d1f8587d21f,Adkins-Stephenson,Italian,Michaelview,Susan Santos,51,250.459.2312x8879,4.0,19,True
0e06869f-0fcf-4196-a088-b2e1f13f32e0,"Wright, Fletcher and Garcia",Chinese,Pamelashire,Diane Dean,25,652-824-4966x0034,5.0,34,False
2e04fafc-df4d-4977-9e86-132e58fa0d69,Hansen Inc,Indian,Susanview,Kyle Shelton,21,+1-836-562-5235x01398,5.0,26,False
853c4d53-72d0-49b1-8f0b-2635ac98793d,Price Ltd,Mexican,West Karenview,Kathy Giles,18,+1-425-844-6365x67426,1.0,4,True
41e5ac21-b096-4fe5-a708-9b14e952ef61,Wood-Mccullough,Italian,North Ronald,Alicia Tyler,56,+1-452-493-1194x2104,1.0,40,True
858861bd-cfbf-446e-b68c-37acef6927d3,Mckay LLC,Mexican,North Michael,James Roberson,24,(680)484-6060x78432,3.0,22,True
01a051a3-dcde-4d4b-89dd-d3b46b9602d3,"Duncan, Garcia and Smith",Mexican,Lake Charlesport,Matthew Lopez,30,388.226.1480x9985,3.0,32,True
